GEOID,geometry,NAME,variable,value,moe,Year,SE,CoV,short_label,tract_total
53033000500,"list(list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 
47.708919, 47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219)))","Census Tract 5, King County, Washington",B25033_002,0.9895833333333334,NA,2009,NA,NA,Owner occupied,3456
53033000500,"list(list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 
47.708919, 47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219)))","Census Tract 5, King County, Washington",B25033_008,0.010416666666666666,NA,2009,NA,NA,Renter occupied,3456
53033000600,"list(list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819)))","Census Tract 6, King County, Washington",B25033_002,0.6905502230634041,NA,2009,NA,NA,Owner occupied,7397
53033000600,"list(list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819)))","Census Tract 6, King County, Washington",B25033_008,0.3094497769365959,NA,2009,NA,NA,Renter occupied,7397
53033000700,"list(list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646)))","Census Tract 7, King County, Washington",B25033_002,0.39107883817427386,NA,2009,NA,NA,Owner occupied,4820
53033000700,"list(list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646)))","Census Tract 7, King County, Washington",B25033_008,0.6089211618257261,NA,2009,NA,NA,Renter occupied,4820
53033000800,"list(list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 
47.71902, 47.71912, 47.71922, 47.71732)))","Census Tract 8, King County, Washington",B25033_002,0.7703220858895705,NA,2009,NA,NA,Owner occupied,2608
53033000800,"list(list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 
47.71902, 47.71912, 47.71922, 47.71732)))","Census Tract 8, King County, Washington",B25033_008,0.22967791411042945,NA,2009,NA,NA,Renter occupied,2608
53033000900,"list(list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057)))","Census Tract 9, King County, Washington",B25033_002,0.7567961165048543,NA,2009,NA,NA,Owner occupied,2060
53033000900,"list(list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057)))","Census Tract 9, King County, Washington",B25033_008,0.24320388349514563,NA,2009,NA,NA,Renter occupied,2060
